name,filename,summary
"10,000 Bulletz",10000Bulletz.rar,Much cooler spelled this way. Would be a really cool futuristic game if the walkspeed wasn't painfully slow.
Amarok,Amarok.rar,"shirotsugh's foray into game-making, and one of the first CBS games."
Angels of Exodus,Angels of Exodus.rar,Once a very popular game by the infamous Illustrious.
Ara Fell Episode 1,AraFell.rar,The first ( and only? ) really good Rm2k3 RPG that wasn't a port from Rm2k.
Aurora Wing,Aurora Wing.rar,"The most well done CBS ever done on Rm2k, this game boasts a full-featured tactical battle system. This CBS actually ran ( although a bit slow ) on my old P1 200 with 40 MB RAM."
Aurora's Tear,Aurora's Tear.rar,Advo's English translation of an earlier demo. One of the classic German Rm2k games.
Awakening,Awakening.rar,One of the first Rm2k ABS games.
Bakuenryu,Bakuenryu.rar,An older RTP game I felt like adding. Was probably released in 2000.
Balmung Chronicles,Balmung.rar,Started out as a DBS contest entry. The game thrown around it isn't bad either.
Beyond Dreams,Beyond Dreams.rar,"Interesting characters and systems make this game one you definitely should not miss. Unfortunately, it's a little short, and this is probably all we'll ever see of it."
Bionic Plague,Bionic Plague.rar,"Released in 2000 and lost a MGA to ABL. Made by a notorious figure at the time, Rancid Diarrhea."
Black Fantasy,Black Fantasy.rar,Other old school game I felt like adding for no particular reason.
Blood Reign,Blood Reign.rar,"bsJeff's Eternal Souls CBS is still remembered, but not many remember this previous game."
Book of Three,Book Of Three.rar,The forgotten Lys game. 100% Complete.
Brothers,Brothers.rar,"Had a fair amount of popularity. If anyone has the more updated version, please send it."
Chaos Millenium CBS,CMilBattleDemo.rar,"Another one of the early CBSes, this one by shqua."
Crystal Chase,Crystal Chase.rar,An early game famous for being impossibly hard. This is a later version released in 2002.
Dawn of Darkness Legends: Nightwish,dodln.rar,10-15 hour classic with very unique gameplay as far as Rm2k/3 games go.
Demented Pineapple 2k,DP2k.rar,Absolutely depraved and without any merit whatsoever.
Demon Legacy,DemonLegacy.rar,The remade and re-completed version of Nightblade's Rm2k3 epic. Now not bloated with .wavs from PS1 games. Had a really neat villain.
Densetsu Redone,Densetsu Redone.rar,Here it is! The first EVER English CBS! Awesome!
Destined,Destined.rar,"Another one I felt like adding, although this one is fairly recent."
Destiny's Call Complete,Dcc.rar,The remake of the original Destiny's Call. Sophomoric humor at its finest.
Deus Cards,DeusCard.rar,"""Inspired"" by Angelic Layer. Very interesting, if sometimes confusing card game/tournament by Watermark. Definitely a must-download."
Diary of a Madman,DoaM.rar,I see dead people!!!!!
Dragon Destiny,Dragon Destiny.rar,Rast's 30-40 hour puzzle-filled epic most notable for insane sized maps and insane lag.
Dragon Saga IV: Running Water,Running Water.rar,"Suikoden clone, though not as blatant as Legion Saga. Fully complete, it's the longest Rm2k game ever not named ""Laxius Power""."
DragonFull,DragonFull.rar,Another old 2000-era game added to the collection.
DRESS,DRESS.rar,"Craze had one month to produce a quality game or he'd have to wear a dress. He failed to do both, but what he did produce is available here."
Epoch,Epoch1.rar,"The first installment of this space odyssey RPG. Has nice custom facesets. Facesets aside, this is the most perfectly average Rm2k game ever. Meaning if your game is better than this in any area, it's good in that area, and if your game is worse than this in any area, it's bad in that area."
Epoch 2,epoch2.rar,The sequel to the first Epoch.
Equilibrium,equilibrium.rar,A long intro to a game that never was.
Eternal Souls CBS,Eternal Souls CBS.rar,"One of the most famous CBS tech demos ever made with Rm2k, by bsJeff."
Extrenia,Extrenia.rar,"The infamous ""Setzer chick"" game."
Falllenwood,fallenwood.rar,"What was unique about Fallenwood was not only its open-ended design, but the choice to go with ambient sounds in place of music."
Fenrir's Sonata,Fenrir's Sonata.rar,This teaser released back in 2001 boasted original graphics that can compete with the best screenshots you see in today's Rm2k/3 games.
